date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:00	3227/3227	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/starter-template/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/starter-template/index.html	(from http://getbootstrap.com/getting-started/)
14:56:01	26512/26512	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/theme/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/theme/index.html	(from http://getbootstrap.com/getting-started/)
14:56:02	108738/108738	---MC-	200	added ('OK')	image/svg+xml	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.svg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.svg	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
14:56:03	6641/6641	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/grid/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/grid/index.html	(from http://getbootstrap.com/getting-started/)
14:56:05	45404/45404	---MC-	200	added ('OK')	application/x-font-ttf	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/dist/fonts/glyphicons-halflings-regular.ttf	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/dist/fonts/glyphicons-halflings-regular.ttf	(from http://getbootstrap.com/dist/css/bootstrap.min.css)
14:56:06	5106/5106	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/jumbotron/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/jumbotron/index.html	(from http://getbootstrap.com/getting-started/)
14:56:14	85405/85405	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/theme.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/theme.jpg	(from http://getbootstrap.com/getting-started/)
14:56:15	3460/3460	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/jumbotron-narrow/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/jumbotron-narrow/index.html	(from http://getbootstrap.com/getting-started/)
14:56:17	99951/99951	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/grid.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/grid.jpg	(from http://getbootstrap.com/getting-started/)
14:56:17	68573/68573	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/jumbotron-narrow.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/jumbotron-narrow.jpg	(from http://getbootstrap.com/getting-started/)
14:56:18	4571/4571	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/navbar/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/navbar/index.html	(from http://getbootstrap.com/getting-started/)
14:56:18	101076/101076	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/jumbotron.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/jumbotron.jpg	(from http://getbootstrap.com/getting-started/)
14:56:19	4586/4586	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/navbar-static-top/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/navbar-static-top/index.html	(from http://getbootstrap.com/getting-started/)
14:56:20	4582/4582	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/navbar-fixed-top/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/navbar-fixed-top/index.html	(from http://getbootstrap.com/getting-started/)
14:56:21	40956/40956	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/navbar.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/navbar.jpg	(from http://getbootstrap.com/getting-started/)
14:56:22	3267/3267	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/cover/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/cover/index.html	(from http://getbootstrap.com/getting-started/)
14:56:23	39654/39654	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/navbar-static.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/navbar-static.jpg	(from http://getbootstrap.com/getting-started/)
14:56:24	11491/11491	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/carousel/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/carousel/index.html	(from http://getbootstrap.com/getting-started/)
14:56:25	37932/37932	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/navbar-fixed.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/navbar-fixed.jpg	(from http://getbootstrap.com/getting-started/)
14:56:26	9829/9829	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/blog/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/blog/index.html	(from http://getbootstrap.com/getting-started/)
14:56:26	36580/36580	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/cover.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/cover.jpg	(from http://getbootstrap.com/getting-started/)
14:56:27	9652/9652	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/dashboard/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/dashboard/index.html	(from http://getbootstrap.com/getting-started/)
14:56:30	13596/13596	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/sign-in.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/sign-in.jpg	(from http://getbootstrap.com/getting-started/)
14:56:31	2337/2337	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/signin/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/signin/index.html	(from http://getbootstrap.com/getting-started/)
14:56:35	82270/82270	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/carousel.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/carousel.jpg	(from http://getbootstrap.com/getting-started/)
14:56:36	4299/4299	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/justified-nav/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/justified-nav/index.html	(from http://getbootstrap.com/getting-started/)
14:56:41	25002/25002	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/sticky-footer.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/sticky-footer.jpg	(from http://getbootstrap.com/getting-started/)
14:56:42	2133/2133	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/sticky-footer/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/sticky-footer/index.html	(from http://getbootstrap.com/getting-started/)
14:56:43	105325/105325	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/dashboard.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/dashboard.jpg	(from http://getbootstrap.com/getting-started/)
14:56:43	79037/79037	---M--	200	added ('OK')	image/jpeg	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/screenshots/justified-nav.jpg	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/screenshots/justified-nav.jpg	(from http://getbootstrap.com/getting-started/)
14:56:44	4302/4302	---MC-	200	added ('OK')	text/html	date:Fri,%2011%20Mar%202016%2006:43:35%20GMT	http://getbootstrap.com/examples/sticky-footer-navbar/	C:/xampp/htdocs/mediap/boost/get/getbootstrap.com/examples/sticky-footer-navbar/index.html	(from http://getbootstrap.com/getting-started/)
